ticker,company_name,quarter,date,fiscal_year,fiscal_quarter,word_count,source,collection_date
 CSCO, CSCO Inc.,Q2 2024,2024-07-31,2024,2,8458,REAL,2026-03-28
 CSCO, CSCO Inc.,Q3 2024,2024-10-31,2024,3,9928,REAL,2026-03-28
AAPL,AAPL Inc.,Q1 2024,2024-04-30,2024,1,8011,REAL,2026-03-28
AAPL,AAPL Inc.,Q2 2024,2024-07-31,2024,2,8194,REAL,2026-03-28
AAPL,AAPL Inc.,Q3 2024,2024-10-31,2024,3,8046,REAL,2026-03-28
AAPL,AAPL Inc.,Q4 2024,2025-01-31,2024,4,8011,REAL,2026-03-28
ABNB,ABNB Inc.,Q1 2024,2024-04-30,2024,1,10254,REAL,2026-03-28
ABNB,ABNB Inc.,Q1 2025,2025-04-30,2025,1,9324,REAL,2026-03-28
ABNB,ABNB Inc.,Q2 2024,2024-07-31,2024,2,10285,REAL,2026-03-28
ABNB,ABNB Inc.,Q2 2025,2025-07-31,2025,2,11324,REAL,2026-03-28
ABNB,ABNB Inc.,Q3 2024,2024-10-31,2024,3,9617,REAL,2026-03-28
ABNB,ABNB Inc.,Q3 2025,2025-10-31,2025,3,21938,REAL,2026-03-28
ABNB,ABNB Inc.,Q4 2024,2025-01-31,2024,4,10642,REAL,2026-03-28
ABNB,ABNB Inc.,Q4 2025,2026-01-31,2025,4,10286,REAL,2026-03-28
ABT,ABT Inc.,Q1 2024,2024-04-30,2024,1,8355,REAL,2026-03-28
ABT,ABT Inc.,Q1 2025,2025-04-30,2025,1,8794,REAL,2026-03-28
ABT,ABT Inc.,Q2 2024,2024-07-31,2024,2,8768,REAL,2026-03-28
ABT,ABT Inc.,Q2 2025,2025-07-31,2025,2,8673,REAL,2026-03-28
ABT,ABT Inc.,Q3 2024,2024-10-31,2024,3,8640,REAL,2026-03-28
ABT,ABT Inc.,Q3 2025,2025-10-31,2025,3,10065,REAL,2026-03-28
ABT,ABT Inc.,Q4 2024,2025-01-31,2024,4,8576,REAL,2026-03-28
ABT,ABT Inc.,Q4 2025,2026-01-31,2025,4,10387,REAL,2026-03-28
ACGL,ACGL Inc.,Q1 2024,2024-04-30,2024,1,7920,REAL,2026-03-28
ACGL,ACGL Inc.,Q1 2025,2025-04-30,2025,1,8898,REAL,2026-03-28
ACGL,ACGL Inc.,Q2 2024,2024-07-31,2024,2,8472,REAL,2026-03-28
ACGL,ACGL Inc.,Q2 2025,2025-07-31,2025,2,9524,REAL,2026-03-28
ACGL,ACGL Inc.,Q3 2024,2024-10-31,2024,3,9260,REAL,2026-03-28
ACGL,ACGL Inc.,Q3 2025,2025-10-31,2025,3,9147,REAL,2026-03-28
ACGL,ACGL Inc.,Q4 2024,2025-01-31,2024,4,9662,REAL,2026-03-28
ACGL,ACGL Inc.,Q4 2025,2026-01-31,2025,4,8355,REAL,2026-03-28
ACN,ACN Inc.,Q1 2024,2024-04-30,2024,1,10309,REAL,2026-03-28
ACN,ACN Inc.,Q1 2025,2025-04-30,2025,1,9361,REAL,2026-03-28
ACN,ACN Inc.,Q2 2024,2024-07-31,2024,2,9246,REAL,2026-03-28
ACN,ACN Inc.,Q2 2025,2025-07-31,2025,2,9743,REAL,2026-03-28
ACN,ACN Inc.,Q3 2024,2024-10-31,2024,3,9481,REAL,2026-03-28
ACN,ACN Inc.,Q3 2025,2025-10-31,2025,3,8737,REAL,2026-03-28
ACN,ACN Inc.,Q4 2024,2025-01-31,2024,4,9785,REAL,2026-03-28
ACN,ACN Inc.,Q4 2025,2026-01-31,2025,4,9069,REAL,2026-03-28
ADBE,ADBE Inc.,Q1 2023,2023-04-30,2023,1,9507,REAL,2026-03-28
ADBE,ADBE Inc.,Q1 2024,2024-04-30,2024,1,10843,REAL,2026-03-28
ADBE,ADBE Inc.,Q1 2025,2025-04-30,2025,1,10140,REAL,2026-03-28
